type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"W,48.279394400,8.850950700,514.8,,,,""48.2793944,8.8509507"",""Balingen, 72336 Balingen, Deutschland"""
"W,48.279450000,8.850716000,513.6,,,,""Bahnhof/Busbahnhof, Balingen"","

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"T,48.279390000,8.850950000,514.8,,0.000,,""Balingen - Bahnhof/Busbahnhof, Balingen"",""10.3 km, 0:23"""
T,48.275010000,8.882520000,563.1,-8.4,5.538,15.50,,
T,48.274990000,8.882320000,562.5,-4.3,5.553,15.01,,
T,48.274970000,8.882180000,562.3,-2.2,5.564,10.63,,
T,48.274960000,8.882110000,562.1,-2.8,5.569,5.31,,
T,48.274950000,8.882000000,561.8,-4.1,5.578,8.24,,
T,48.274920000,8.881860000,561.6,-2.0,5.589,10.91,,
T,48.274860000,8.881590000,561.5,-0.2,5.610,21.12,,
T,48.274830000,8.881540000,561.7,4.5,5.615,4.99,,
T,48.274810000,8.881480000,561.8,1.4,5.620,4.98,,
T,48.274760000,8.881370000,561.8,0.1,5.629,9.88,,
T,48.274750000,8.881340000,561.8,-2.2,5.632,2.49,,
T,48.274670000,8.881130000,561.6,-0.7,5.650,17.95,,
T,48.274630000,8.880950000,563.0,9.5,5.664,14.08,,
T,48.274580000,8.880660000,565.2,10.3,5.686,22.23,,
T,48.274540000,8.880470000,566.2,6.5,5.701,14.79,,
T,48.274550000,8.880410000,566.6,9.0,5.706,4.59,,
T,48.274550000,8.880330000,567.1,7.8,5.712,5.94,,
T,48.274530000,8.880260000,567.4,5.6,5.717,5.65,,
T,48.274520000,8.880170000,567.8,5.5,5.724,6.77,,
T,48.274500000,8.880110000,567.9,3.2,5.729,4.98,,
T,48.274490000,8.880070000,568.0,3.5,5.732,3.17,,
T,48.274460000,8.879980000,568.1,1.0,5.740,7.47,,
T,48.274410000,8.879890000,567.9,-2.2,5.748,8.69,,
T,48.274410000,8.879880000,567.9,0.7,5.749,0.74,,
T,48.274370000,8.879810000,567.9,-0.2,5.756,6.84,,
